matricula,periodo_ingresso,periodo_situacao,cr,situacao,forma_ingresso,forma_saida,sexo,naturalidade,raca_cor,acao_afirmativa,tipo_de_escola_em,conclusao_em,interticio,reprovacoes_1_ciclo,recebeu_auxilio,recebeu_bolsa
E0192824,2019.1,2024.2,7.256890050833952,Cursando,SISU,NULL,M,Redenção,Branca,Ampla Concorrência,Privada,2018,1,0,não,sim
E0242679,2024.1,2025.2,9.03169663166312,Formado,Vestibular,Formatura,F,Palmácia,Preta,Ampla Concorrência,Privada,2024,0,0,sim,sim
E0224811,2022.1,2024.2,7.476731001173455,Cursando,Transferência,NULL,F,Baturité,Branca,Ampla Concorrência,Pública,2021,1,1,sim,não
E0215557,2021.1,2025.2,9.16425003392524,Formado,Internacional,Formatura,M,Outros,Parda,Ampla Concorrência,Privada,2020,1,0,não,não
E0176514,2017.1,2024.2,6.85529337145609,Cursando,Vestibular,NULL,M,Redenção,Parda,Estrangeiro,Pública,2017,0,2,sim,não
E0176635,2017.2,2024.2,7.815008388415574,Trancado,Reopção,NULL,M,Redenção,Não declarada,Não informado,Pública,2013,4,0,sim,não
E0167201,2016.1,2024.2,7.807067817333955,Trancado,ENEM,NULL,M,Fortaleza,Branca,Estrangeiro,Pública,2012,4,0,não,não
E0232139,2023.1,2024.2,7.162711658927273,Cursando,Vestibular,NULL,M,Pacoti,Não declarada,Ampla Concorrência,Pública,2023,0,0,sim,não
E0212654,2021.2,2023.2,4.154316371338304,Evadido,Transferência,Desistência,F,Outros,Indígena,Estrangeiro,Privada,2019,2,3,não,sim
E0224432,2022.2,2024.2,9.191817797265358,Cursando,Vestibular,NULL,F,Pacoti,Parda,Lei nº 12.711/2012,Privada,2018,4,0,sim,sim
E0153677,2015.2,2024.2,7.395876765556802,Cursando,SISU,NULL,M,Acarape,Parda,Ampla Concorrência,Pública,2010,5,1,não,não
E0246313,2024.1,2025.1,8.049733703650906,Formado,SISU,Formatura,F,Fortaleza,Branca,Lei nº 12.711/2012,Pública,2022,2,0,não,não
E0234456,2023.2,2025.2,8.309815917697971,Formado,Vestibular,Formatura,M,Baturité,Parda,Não informado,Privada,2022,1,1,não,não
E0183287,2018.1,2024.2,6.95183745464861,Cursando,SISU,NULL,F,Fortaleza,Parda,Ampla Concorrência,Pública,2014,4,3,não,não
E0176930,2017.1,2024.2,4.921526762880428,Trancado,ENEM,NULL,F,Fortaleza,Preta,Lei nº 12.711/2012,Pública,2017,0,1,sim,não
E0172796,2017.1,2024.2,7.17562902794307,Cursando,SISU,NULL,F,Internacional,Parda,Ampla Concorrência,Privada,2013,4,0,sim,não
E0197304,2019.2,2025.2,8.05086107669564,Formado,SISU,Formatura,F,Acarape,Branca,Ampla Concorrência,Pública,2014,5,0,não,sim
E0209797,2020.2,2025.2,8.1618737001011,Formado,SISU,Formatura,M,Pacoti,Parda,Ampla Concorrência,Pública,2017,3,0,sim,não
E0208433,2020.1,2024.2,6.103501877270392,Cursando,Vestibular,NULL,F,Redenção,Parda,Ampla Concorrência,Pública,2016,4,0,não,sim
E0185889,2018.1,2019.2,6.599126833955774,Evadido,Vestibular,Transferência,M,Acarape,Parda,Ampla Concorrência,Não informado,2014,4,2,sim,sim
E0219005,2021.1,2024.2,5.743437775838268,Trancado,Reopção,NULL,M,Fortaleza,Indígena,Lei nº 12.711/2012,Pública,2019,2,2,sim,não
E0171949,2017.1,2023.1,8.414315549167462,Formado,SISU,Formatura,F,Pacoti,Não declarada,Lei nº 12.711/2012,Privada,2017,0,0,sim,não
E0183103,2018.2,2024.1,6.604549001500957,Formado,SISU,Formatura,F,Internacional,Preta,Lei nº 12.711/2012,Não informado,2017,1,1,não,não
E0196107,2019.2,2024.2,5.972558911436365,Cursando,Transferência,NULL,F,Fortaleza,Não declarada,Lei nº 12.711/2012,Pública,2015,4,3,não,não
E0202982,2020.1,2024.2,6.947743723598284,Cursando,ENEM,NULL,M,Outros,Não declarada,Lei nº 12.711/2012,Pública,2018,2,0,sim,sim
E0224770,2022.1,2024.2,6.837758274309233,Cursando,SISU,NULL,M,Palmácia,Amarela,Lei nº 12.711/2012,Privada,2017,5,0,sim,sim
E0174750,2017.1,2021.2,6.2394217917626245,Formado,Vestibular,Formatura,M,Outros,Parda,Ampla Concorrência,Pública,2015,2,3,sim,sim
E0204510,2020.1,2023.2,8.222748035265544,Evadido,Vestibular,Desistência,M,Internacional,Branca,Lei nº 12.711/2012,Privada,2017,3,0,sim,não
E0212545,2021.1,2025.2,6.458746207981541,Formado,SISU,Formatura,F,Outros,Não declarada,Lei nº 12.711/2012,Não informado,2018,3,3,não,não
